"","BIN","Borough","House","Street.Name","Job.Type","Work.Type","Permit.Status","Filing.Date","Expiration.Date","Job.Start.Date","Lat","Long"
"6093",5165162,"STATEN ISLAND","218","CHEEVERS LANE","A2","OT","ISSUED","08/19/2020","04/21/2021",2020-08-19,40.512934,-74.232595
"6094",1019603,"MANHATTAN","343","2ND AVENUE","A2","OT","ISSUED","08/19/2020","10/27/2020",2020-02-12,40.735938,-73.982341
"6095",1016000,"MANHATTAN","21","WEST 38TH STREET","A2","OT","ISSUED","08/19/2020","11/04/2020",2020-08-22,40.751364,-73.983661
"6096",1030263,"MANHATTAN","146","WEST 79TH STREET","A2","OT","ISSUED","08/19/2020","07/19/2021",2020-08-19,40.782518,-73.97685
"6097",1016749,"MANHATTAN","41","MADISON AVENUE","A2","OT","ISSUED","08/19/2020","06/29/2021",2020-01-31,40.742616,-73.986698
"6098",1010245,"MANHATTAN","146","WAVERLY PLACE","A2","OT","ISSUED","08/20/2020","06/24/2021",2020-08-21,40.733291,-74.000826
"6099",1041086,"MANHATTAN","610","PARK AVENUE","A2","OT","ISSUED","08/20/2020","03/01/2021",2020-08-20,40.766497,-73.967199
"6100",1085694,"MANHATTAN","540","FIRST AVENUE","A2","SP","ISSUED","08/20/2020","08/20/2021",2020-08-20,40.742066,-73.974757
"6101",2028488,"BRONX","1462","SAINT LAWRENCE AVENUE","A2","OT","ISSUED","08/20/2020","11/01/2020",2020-09-17,40.836955,-73.868184
"6102",3089338,"BROOKLYN","2530","PITKIN AVENUE","A2","OT","","08/20/2020","08/09/2021",2020-08-25,40.674398,-73.878819
"6103",1037549,"MANHATTAN","675","3RD AVE","A2","OT","ISSUED","08/20/2020","06/30/2021",2020-08-20,40.750791,-73.973963
"6104",4215813,"QUEENS","106-46","GUY BREWER BLVD","A2","OT","ISSUED","08/20/2020","02/12/2021",2020-08-20,40.698984,-73.793025
"6105",4267628,"QUEENS","116-02","MERRICK BLVD","A2","OT","ISSUED","08/21/2020","03/05/2021",2020-08-21,40.688216,-73.776454
"6106",5067955,"STATEN ISLAND","251","WINCHESTER AVENUE","A1","","ISSUED","08/20/2020","10/25/2020",2020-08-21,40.538016,-74.15658
"6107",5067955,"STATEN ISLAND","251","WINCHESTER AVENUE","A1","","ISSUED","08/20/2020","10/25/2020",2020-08-20,40.538016,-74.15658
"6108",5067955,"STATEN ISLAND","251","WINCHESTER AVENUE","A1","","ISSUED","08/20/2020","10/25/2020",2020-08-20,40.538016,-74.15658
"6109",1001005,"MANHATTAN","48","WALL STREET","A2","OT","ISSUED","08/21/2020","04/01/2021",2020-08-21,40.706331,-74.009396
"6110",5000685,"STATEN ISLAND","148","CORSON AVE","A2","OT","IN PROCESS","08/21/2020","",2020-08-21,40.637558,-74.083743
"6111",3426451,"BROOKLYN","230","EXETER STREET","NB","","ISSUED","08/21/2020","12/17/2020",2020-08-27,40.576511,-73.94808
"6112",3019525,"BROOKLYN","179","FOURTH AVENUE","A2","SP","ISSUED","08/21/2020","08/21/2021",2020-08-21,40.67843,-73.982345
"6113",3019525,"BROOKLYN","179","FOURTH AVENUE","A2","SD","ISSUED","08/21/2020","08/21/2021",2020-08-21,40.67843,-73.982345
